"Kommune","Andel med sukkersyge (diabetes)","Sukkersyge (diabetes). Køns- og aldersjusteret OR"
"Albertslund","7.8","1.47"
"Allerød","3.6","0.59"
"Assens","5.9","0.97"
"Ballerup","6.3","1.11"
"Billund","6.4","1.09"
"Bornholm","6.5","0.93"
"Brøndby","7.9","1.43"
"Brønderslev","6.9","1.14"
"Dragør","4.2","0.58"
"Egedal","4.2","0.73"
"Esbjerg","6.2","1.13"
"Fanø","6.8","0.92"
"Favrskov","5.3","0.98"
"Faxe","5.6","0.87"
"Fredensborg","5.4","0.82"
"Fredericia","5.7","1.01"
"Frederiksberg","2.8","0.59"
"Frederikshavn","7.2","1.11"
"Frederikssund","6.4","0.99"
"Furesø","4.0","0.64"
"Faaborg-Midtfyn","5.6","0.88"
"Gentofte","2.7","0.45"
"Gladsaxe","5.9","1.24"
"Glostrup","6.1","1.15"
"Greve","5.2","0.86"
"Gribskov","6.4","0.96"
"Guldborgsund","6.8","1.01"
"Haderslev","5.6","0.95"
"Halsnæs","6.9","1.03"
"Hedensted","4.6","0.81"
"Helsingør","5.4","0.86"
"Herlev","6.4","1.15"
"Herning","6.2","1.18"
"Hillerød","4.6","0.81"
"Hjørring","6.9","1.11"
"Holbæk","6.7","1.16"
"Holstebro","5.2","0.95"
"Horsens","6.6","1.38"
"Hvidovre","6.1","1.13"
"Høje-Taastrup","7.2","1.37"
"Hørsholm","5.4","0.74"
"Ikast-Brande","6.6","1.20"
"Ishøj","6.6","1.31"
"Jammerbugt","7.4","1.19"
"Kalundborg","7.2","1.19"
"Kerteminde","6.8","1.10"
"Kolding","5.5","1.01"
"København","3.5","0.98"
"Køge","6.2","1.01"
"Langeland","6.7","0.91"
"Lejre","4.6","0.71"
"Lemvig","7.5","1.31"
"Lolland","9.9","1.48"
"Lyngby-Taarbæk","4.0","0.73"
"Læsø","10.2","1.36"
"Mariagerfjord","7.0","1.13"
"Middelfart","6.1","0.99"
"Morsø","7.6","1.11"
"Norddjurs","6.1","0.97"
"Nordfyns","6.2","1.03"
"Nyborg","6.7","1.08"
"Næstved","4.9","0.82"
"Odder","6.7","1.16"
"Odense","5.0","1.05"
"Odsherred","8.3","1.21"
"Randers","4.8","0.87"
"Rebild","6.4","1.04"
"Ringkøbing-Skjern","5.0","0.87"
"Ringsted","6.7","1.23"
"Roskilde","6.6","1.17"
"Rudersdal","4.2","0.64"
"Rødovre","5.5","0.97"
"Samsø","7.2","0.95"
"Silkeborg","6.8","1.25"
"Skanderborg","5.3","0.95"
"Skive","6.5","1.15"
"Slagelse","7.8","1.37"
"Solrød","5.5","0.92"
"Sorø","5.6","0.92"
"Stevns","5.9","0.90"
"Struer","6.2","1.07"
"Svendborg","5.9","0.99"
"Syddjurs","5.5","0.81"
"Sønderborg","7.9","1.33"
"Thisted","7.6","1.22"
"Tønder","6.5","1.06"
"Tårnby","6.4","1.16"
"Vallensbæk","6.1","1.11"
"Varde","4.9","0.80"
"Vejen","6.9","1.21"
"Vejle","4.7","0.82"
"Vesthimmerlands","5.7","0.91"
"Viborg","5.2","0.96"
"Vordingborg","7.1","1.11"
"Ærø","6.2","0.84"
"Aabenraa","7.2","1.21"
"Aalborg","5.0","1.02"
"Aarhus","4.1","1.02"